,Topic,Discipline,Quantity
513,33,"SOCIAL SCIENCES, GENERAL",0
514,34,"SOCIAL SCIENCES, GENERAL",1
515,35,"SOCIAL SCIENCES, GENERAL",0
516,36,"SOCIAL SCIENCES, GENERAL",0
517,37,"SOCIAL SCIENCES, GENERAL",0
518,38,"SOCIAL SCIENCES, GENERAL",0
519,39,"SOCIAL SCIENCES, GENERAL",0
520,40,"SOCIAL SCIENCES, GENERAL",0
521,41,"SOCIAL SCIENCES, GENERAL",1
522,42,"SOCIAL SCIENCES, GENERAL",0
523,43,"SOCIAL SCIENCES, GENERAL",0
524,44,"SOCIAL SCIENCES, GENERAL",0
525,45,"SOCIAL SCIENCES, GENERAL",0
526,46,"SOCIAL SCIENCES, GENERAL",0
527,47,"SOCIAL SCIENCES, GENERAL",0
528,0,CHEMISTRY,5
529,1,CHEMISTRY,3
530,2,CHEMISTRY,82
531,3,CHEMISTRY,577
532,4,CHEMISTRY,3
533,5,CHEMISTRY,12
534,6,CHEMISTRY,1
535,7,CHEMISTRY,3
536,8,CHEMISTRY,6
537,9,CHEMISTRY,1
538,10,CHEMISTRY,23
539,11,CHEMISTRY,4
540,12,CHEMISTRY,2
541,13,CHEMISTRY,0
542,14,CHEMISTRY,0
543,15,CHEMISTRY,0
544,16,CHEMISTRY,0
545,17,CHEMISTRY,2
546,18,CHEMISTRY,0
547,19,CHEMISTRY,0
548,20,CHEMISTRY,22
549,21,CHEMISTRY,13
550,22,CHEMISTRY,100
551,23,CHEMISTRY,2
552,24,CHEMISTRY,0
553,25,CHEMISTRY,49
554,26,CHEMISTRY,0
555,27,CHEMISTRY,0
556,28,CHEMISTRY,0
557,29,CHEMISTRY,0
558,30,CHEMISTRY,1
559,31,CHEMISTRY,5
560,32,CHEMISTRY,0
561,33,CHEMISTRY,1
562,34,CHEMISTRY,0
563,35,CHEMISTRY,2
564,36,CHEMISTRY,30
565,37,CHEMISTRY,0
566,38,CHEMISTRY,0
567,39,CHEMISTRY,1
568,40,CHEMISTRY,1
569,41,CHEMISTRY,0
