,Topic,Discipline,Quantity
364,19,ECONOMICS & BUSINESS,0
365,20,ECONOMICS & BUSINESS,0
366,21,ECONOMICS & BUSINESS,0
367,22,ECONOMICS & BUSINESS,0
368,23,ECONOMICS & BUSINESS,0
369,24,ECONOMICS & BUSINESS,0
370,25,ECONOMICS & BUSINESS,0
371,26,ECONOMICS & BUSINESS,0
372,27,ECONOMICS & BUSINESS,0
373,28,ECONOMICS & BUSINESS,0
374,29,ECONOMICS & BUSINESS,0
375,30,ECONOMICS & BUSINESS,0
376,31,ECONOMICS & BUSINESS,0
377,32,ECONOMICS & BUSINESS,0
378,33,ECONOMICS & BUSINESS,0
379,34,ECONOMICS & BUSINESS,0
380,35,ECONOMICS & BUSINESS,0
381,36,ECONOMICS & BUSINESS,0
382,37,ECONOMICS & BUSINESS,0
383,38,ECONOMICS & BUSINESS,0
384,39,ECONOMICS & BUSINESS,0
385,40,ECONOMICS & BUSINESS,0
386,41,ECONOMICS & BUSINESS,0
387,42,ECONOMICS & BUSINESS,0
388,43,ECONOMICS & BUSINESS,0
389,44,ECONOMICS & BUSINESS,0
390,45,ECONOMICS & BUSINESS,0
391,46,ECONOMICS & BUSINESS,0
392,47,ECONOMICS & BUSINESS,0
393,48,ECONOMICS & BUSINESS,0
394,49,ECONOMICS & BUSINESS,0
395,50,ECONOMICS & BUSINESS,0
396,51,ECONOMICS & BUSINESS,0
397,52,ECONOMICS & BUSINESS,0
398,53,ECONOMICS & BUSINESS,0
399,54,ECONOMICS & BUSINESS,0
400,55,ECONOMICS & BUSINESS,0
401,56,ECONOMICS & BUSINESS,0
402,57,ECONOMICS & BUSINESS,0
403,58,ECONOMICS & BUSINESS,0
404,59,ECONOMICS & BUSINESS,0
405,60,ECONOMICS & BUSINESS,0
406,61,ECONOMICS & BUSINESS,0
407,62,ECONOMICS & BUSINESS,0
408,63,ECONOMICS & BUSINESS,0
409,64,ECONOMICS & BUSINESS,0
410,65,ECONOMICS & BUSINESS,0
411,66,ECONOMICS & BUSINESS,0
412,67,ECONOMICS & BUSINESS,0
413,68,ECONOMICS & BUSINESS,0
414,0,CLINICAL MEDICINE,69
415,1,CLINICAL MEDICINE,494
416,2,CLINICAL MEDICINE,97
417,3,CLINICAL MEDICINE,1
418,4,CLINICAL MEDICINE,68
419,5,CLINICAL MEDICINE,79
420,6,CLINICAL MEDICINE,130
421,7,CLINICAL MEDICINE,168
422,8,CLINICAL MEDICINE,7
423,9,CLINICAL MEDICINE,184
424,10,CLINICAL MEDICINE,2
425,11,CLINICAL MEDICINE,11
426,12,CLINICAL MEDICINE,2
427,13,CLINICAL MEDICINE,55
428,14,CLINICAL MEDICINE,3
429,15,CLINICAL MEDICINE,10
430,16,CLINICAL MEDICINE,58
431,17,CLINICAL MEDICINE,33
432,18,CLINICAL MEDICINE,9
433,19,CLINICAL MEDICINE,44
434,20,CLINICAL MEDICINE,125
435,21,CLINICAL MEDICINE,96
436,22,CLINICAL MEDICINE,74
437,23,CLINICAL MEDICINE,42
438,24,CLINICAL MEDICINE,1
439,25,CLINICAL MEDICINE,47
440,26,CLINICAL MEDICINE,55
441,27,CLINICAL MEDICINE,35
442,28,CLINICAL MEDICINE,62
443,29,CLINICAL MEDICINE,2
444,30,CLINICAL MEDICINE,62
445,31,CLINICAL MEDICINE,6
446,32,CLINICAL MEDICINE,0
447,33,CLINICAL MEDICINE,78
448,34,CLINICAL MEDICINE,32
449,35,CLINICAL MEDICINE,45
450,36,CLINICAL MEDICINE,1
451,37,CLINICAL MEDICINE,2
452,38,CLINICAL MEDICINE,0
453,39,CLINICAL MEDICINE,10
454,40,CLINICAL MEDICINE,0
455,41,CLINICAL MEDICINE,20
456,42,CLINICAL MEDICINE,5
457,43,CLINICAL MEDICINE,0
458,44,CLINICAL MEDICINE,1
459,45,CLINICAL MEDICINE,27
460,46,CLINICAL MEDICINE,21
461,47,CLINICAL MEDICINE,3
462,48,CLINICAL MEDICINE,1
463,49,CLINICAL MEDICINE,26
464,50,CLINICAL MEDICINE,2
465,51,CLINICAL MEDICINE,22
466,52,CLINICAL MEDICINE,0
467,53,CLINICAL MEDICINE,28
468,54,CLINICAL MEDICINE,26
469,55,CLINICAL MEDICINE,0
470,56,CLINICAL MEDICINE,19
471,57,CLINICAL MEDICINE,0
472,58,CLINICAL MEDICINE,12
473,59,CLINICAL MEDICINE,18
474,60,CLINICAL MEDICINE,17
475,61,CLINICAL MEDICINE,16
476,62,CLINICAL MEDICINE,0
477,63,CLINICAL MEDICINE,2
478,64,CLINICAL MEDICINE,32
479,65,CLINICAL MEDICINE,1
480,66,CLINICAL MEDICINE,7
481,67,CLINICAL MEDICINE,21
482,68,CLINICAL MEDICINE,14
483,0,MATHEMATICS,0
484,1,MATHEMATICS,0
485,2,MATHEMATICS,1
486,3,MATHEMATICS,0
487,4,MATHEMATICS,0
488,5,MATHEMATICS,0
489,6,MATHEMATICS,0
490,7,MATHEMATICS,0
491,8,MATHEMATICS,0
492,9,MATHEMATICS,0
493,10,MATHEMATICS,0
494,11,MATHEMATICS,0
495,12,MATHEMATICS,0
496,13,MATHEMATICS,0
497,14,MATHEMATICS,0
498,15,MATHEMATICS,0
499,16,MATHEMATICS,0
500,17,MATHEMATICS,0
501,18,MATHEMATICS,0
502,19,MATHEMATICS,0
503,20,MATHEMATICS,0
504,21,MATHEMATICS,0
505,22,MATHEMATICS,0
506,23,MATHEMATICS,0
507,24,MATHEMATICS,0
508,25,MATHEMATICS,0
509,26,MATHEMATICS,0
510,27,MATHEMATICS,0
511,28,MATHEMATICS,0
512,29,MATHEMATICS,0
513,30,MATHEMATICS,0
514,31,MATHEMATICS,0
515,32,MATHEMATICS,0
516,33,MATHEMATICS,0
517,34,MATHEMATICS,0
518,35,MATHEMATICS,0
519,36,MATHEMATICS,0
520,37,MATHEMATICS,5
521,38,MATHEMATICS,0
522,39,MATHEMATICS,0
523,40,MATHEMATICS,0
524,41,MATHEMATICS,0
525,42,MATHEMATICS,0
526,43,MATHEMATICS,0
527,44,MATHEMATICS,0
528,45,MATHEMATICS,0
529,46,MATHEMATICS,0
530,47,MATHEMATICS,0
531,48,MATHEMATICS,0
532,49,MATHEMATICS,0
533,50,MATHEMATICS,0
534,51,MATHEMATICS,0
535,52,MATHEMATICS,0
536,53,MATHEMATICS,0
537,54,MATHEMATICS,0
538,55,MATHEMATICS,0
539,56,MATHEMATICS,0
540,57,MATHEMATICS,0
541,58,MATHEMATICS,0
542,59,MATHEMATICS,0
543,60,MATHEMATICS,0
544,61,MATHEMATICS,0
545,62,MATHEMATICS,0
546,63,MATHEMATICS,0
547,64,MATHEMATICS,0
548,65,MATHEMATICS,0
549,66,MATHEMATICS,0
550,67,MATHEMATICS,0
551,68,MATHEMATICS,0
552,0,PSYCHIATRY/PSYCHOLOGY,1
553,1,PSYCHIATRY/PSYCHOLOGY,0
554,2,PSYCHIATRY/PSYCHOLOGY,23
555,3,PSYCHIATRY/PSYCHOLOGY,0
556,4,PSYCHIATRY/PSYCHOLOGY,2
557,5,PSYCHIATRY/PSYCHOLOGY,31
558,6,PSYCHIATRY/PSYCHOLOGY,6
559,7,PSYCHIATRY/PSYCHOLOGY,0
560,8,PSYCHIATRY/PSYCHOLOGY,0
561,9,PSYCHIATRY/PSYCHOLOGY,1
562,10,PSYCHIATRY/PSYCHOLOGY,0
563,11,PSYCHIATRY/PSYCHOLOGY,0
564,12,PSYCHIATRY/PSYCHOLOGY,1
565,13,PSYCHIATRY/PSYCHOLOGY,2
566,14,PSYCHIATRY/PSYCHOLOGY,0
567,15,PSYCHIATRY/PSYCHOLOGY,1
568,16,PSYCHIATRY/PSYCHOLOGY,0
569,17,PSYCHIATRY/PSYCHOLOGY,0
570,18,PSYCHIATRY/PSYCHOLOGY,0
571,19,PSYCHIATRY/PSYCHOLOGY,0
572,20,PSYCHIATRY/PSYCHOLOGY,0
573,21,PSYCHIATRY/PSYCHOLOGY,0
574,22,PSYCHIATRY/PSYCHOLOGY,0
575,23,PSYCHIATRY/PSYCHOLOGY,1
576,24,PSYCHIATRY/PSYCHOLOGY,0
577,25,PSYCHIATRY/PSYCHOLOGY,2
578,26,PSYCHIATRY/PSYCHOLOGY,0
579,27,PSYCHIATRY/PSYCHOLOGY,0
580,28,PSYCHIATRY/PSYCHOLOGY,0
581,29,PSYCHIATRY/PSYCHOLOGY,0
582,30,PSYCHIATRY/PSYCHOLOGY,0
583,31,PSYCHIATRY/PSYCHOLOGY,0
584,32,PSYCHIATRY/PSYCHOLOGY,0
585,33,PSYCHIATRY/PSYCHOLOGY,0
586,34,PSYCHIATRY/PSYCHOLOGY,0
587,35,PSYCHIATRY/PSYCHOLOGY,0
588,36,PSYCHIATRY/PSYCHOLOGY,0
589,37,PSYCHIATRY/PSYCHOLOGY,0
590,38,PSYCHIATRY/PSYCHOLOGY,0
591,39,PSYCHIATRY/PSYCHOLOGY,0
592,40,PSYCHIATRY/PSYCHOLOGY,0
593,41,PSYCHIATRY/PSYCHOLOGY,0
594,42,PSYCHIATRY/PSYCHOLOGY,0
595,43,PSYCHIATRY/PSYCHOLOGY,0
596,44,PSYCHIATRY/PSYCHOLOGY,0
597,45,PSYCHIATRY/PSYCHOLOGY,0
598,46,PSYCHIATRY/PSYCHOLOGY,0
599,47,PSYCHIATRY/PSYCHOLOGY,0
600,48,PSYCHIATRY/PSYCHOLOGY,0
601,49,PSYCHIATRY/PSYCHOLOGY,0
602,50,PSYCHIATRY/PSYCHOLOGY,0
603,51,PSYCHIATRY/PSYCHOLOGY,0
604,52,PSYCHIATRY/PSYCHOLOGY,0
605,53,PSYCHIATRY/PSYCHOLOGY,0
606,54,PSYCHIATRY/PSYCHOLOGY,0
607,55,PSYCHIATRY/PSYCHOLOGY,0
608,56,PSYCHIATRY/PSYCHOLOGY,0
609,57,PSYCHIATRY/PSYCHOLOGY,0
610,58,PSYCHIATRY/PSYCHOLOGY,1
611,59,PSYCHIATRY/PSYCHOLOGY,0
612,60,PSYCHIATRY/PSYCHOLOGY,0
613,61,PSYCHIATRY/PSYCHOLOGY,0
614,62,PSYCHIATRY/PSYCHOLOGY,0
615,63,PSYCHIATRY/PSYCHOLOGY,0
616,64,PSYCHIATRY/PSYCHOLOGY,0
617,65,PSYCHIATRY/PSYCHOLOGY,0
618,66,PSYCHIATRY/PSYCHOLOGY,0
619,67,PSYCHIATRY/PSYCHOLOGY,0
620,68,PSYCHIATRY/PSYCHOLOGY,0
621,0,PLANT & ANIMAL SCIENCE,523
622,1,PLANT & ANIMAL SCIENCE,11
623,2,PLANT & ANIMAL SCIENCE,9
624,3,PLANT & ANIMAL SCIENCE,1
625,4,PLANT & ANIMAL SCIENCE,3
626,5,PLANT & ANIMAL SCIENCE,4
627,6,PLANT & ANIMAL SCIENCE,0
628,7,PLANT & ANIMAL SCIENCE,2
629,8,PLANT & ANIMAL SCIENCE,2
630,9,PLANT & ANIMAL SCIENCE,0
631,10,PLANT & ANIMAL SCIENCE,1
632,11,PLANT & ANIMAL SCIENCE,4
633,12,PLANT & ANIMAL SCIENCE,2
634,13,PLANT & ANIMAL SCIENCE,29
635,14,PLANT & ANIMAL SCIENCE,0
636,15,PLANT & ANIMAL SCIENCE,54
637,16,PLANT & ANIMAL SCIENCE,0
638,17,PLANT & ANIMAL SCIENCE,3
639,18,PLANT & ANIMAL SCIENCE,4
640,19,PLANT & ANIMAL SCIENCE,0
641,20,PLANT & ANIMAL SCIENCE,1
642,21,PLANT & ANIMAL SCIENCE,0
643,22,PLANT & ANIMAL SCIENCE,0
644,23,PLANT & ANIMAL SCIENCE,0
645,24,PLANT & ANIMAL SCIENCE,8
646,25,PLANT & ANIMAL SCIENCE,5
647,26,PLANT & ANIMAL SCIENCE,4
648,27,PLANT & ANIMAL SCIENCE,8
649,28,PLANT & ANIMAL SCIENCE,0
650,29,PLANT & ANIMAL SCIENCE,52
651,30,PLANT & ANIMAL SCIENCE,2
652,31,PLANT & ANIMAL SCIENCE,2
653,32,PLANT & ANIMAL SCIENCE,0
654,33,PLANT & ANIMAL SCIENCE,12
655,34,PLANT & ANIMAL SCIENCE,0
656,35,PLANT & ANIMAL SCIENCE,0
657,36,PLANT & ANIMAL SCIENCE,0
658,37,PLANT & ANIMAL SCIENCE,2
659,38,PLANT & ANIMAL SCIENCE,0
660,39,PLANT & ANIMAL SCIENCE,2
661,40,PLANT & ANIMAL SCIENCE,2
662,41,PLANT & ANIMAL SCIENCE,2
663,42,PLANT & ANIMAL SCIENCE,2
664,43,PLANT & ANIMAL SCIENCE,0
665,44,PLANT & ANIMAL SCIENCE,10
666,45,PLANT & ANIMAL SCIENCE,0
667,46,PLANT & ANIMAL SCIENCE,2
668,47,PLANT & ANIMAL SCIENCE,0
669,48,PLANT & ANIMAL SCIENCE,1
670,49,PLANT & ANIMAL SCIENCE,0
671,50,PLANT & ANIMAL SCIENCE,0
