,Topic,Discipline,Quantity
513,33,"SOCIAL SCIENCES, GENERAL",0
514,34,"SOCIAL SCIENCES, GENERAL",0
515,35,"SOCIAL SCIENCES, GENERAL",1
516,36,"SOCIAL SCIENCES, GENERAL",0
517,37,"SOCIAL SCIENCES, GENERAL",0
518,38,"SOCIAL SCIENCES, GENERAL",0
519,39,"SOCIAL SCIENCES, GENERAL",0
520,40,"SOCIAL SCIENCES, GENERAL",0
521,41,"SOCIAL SCIENCES, GENERAL",0
522,42,"SOCIAL SCIENCES, GENERAL",0
523,43,"SOCIAL SCIENCES, GENERAL",0
524,44,"SOCIAL SCIENCES, GENERAL",0
525,45,"SOCIAL SCIENCES, GENERAL",0
526,46,"SOCIAL SCIENCES, GENERAL",2
527,47,"SOCIAL SCIENCES, GENERAL",0
528,0,CHEMISTRY,179
529,1,CHEMISTRY,142
530,2,CHEMISTRY,31
531,3,CHEMISTRY,37
532,4,CHEMISTRY,13
533,5,CHEMISTRY,871
534,6,CHEMISTRY,136
535,7,CHEMISTRY,344
536,8,CHEMISTRY,12
537,9,CHEMISTRY,9
538,10,CHEMISTRY,7
539,11,CHEMISTRY,0
540,12,CHEMISTRY,121
541,13,CHEMISTRY,120
542,14,CHEMISTRY,48
543,15,CHEMISTRY,0
544,16,CHEMISTRY,3
545,17,CHEMISTRY,168
546,18,CHEMISTRY,163
547,19,CHEMISTRY,74
548,20,CHEMISTRY,137
549,21,CHEMISTRY,14
550,22,CHEMISTRY,0
551,23,CHEMISTRY,2
552,24,CHEMISTRY,0
553,25,CHEMISTRY,1
554,26,CHEMISTRY,26
555,27,CHEMISTRY,18
556,28,CHEMISTRY,0
557,29,CHEMISTRY,20
558,30,CHEMISTRY,23
559,31,CHEMISTRY,5
560,32,CHEMISTRY,7
561,33,CHEMISTRY,54
562,34,CHEMISTRY,11
563,35,CHEMISTRY,29
564,36,CHEMISTRY,0
565,37,CHEMISTRY,53
566,38,CHEMISTRY,46
567,39,CHEMISTRY,4
568,40,CHEMISTRY,2
569,41,CHEMISTRY,0
570,42,CHEMISTRY,3
571,43,CHEMISTRY,1
572,44,CHEMISTRY,10
573,45,CHEMISTRY,52
574,46,CHEMISTRY,1
575,47,CHEMISTRY,0
576,0,COMPUTER SCIENCE,16
577,1,COMPUTER SCIENCE,6
578,2,COMPUTER SCIENCE,961
579,3,COMPUTER SCIENCE,3
580,4,COMPUTER SCIENCE,0
581,5,COMPUTER SCIENCE,1
582,6,COMPUTER SCIENCE,0
583,7,COMPUTER SCIENCE,0
584,8,COMPUTER SCIENCE,1
585,9,COMPUTER SCIENCE,0
586,10,COMPUTER SCIENCE,3
587,11,COMPUTER SCIENCE,1
588,12,COMPUTER SCIENCE,1
589,13,COMPUTER SCIENCE,5
590,14,COMPUTER SCIENCE,8
591,15,COMPUTER SCIENCE,7
592,16,COMPUTER SCIENCE,36
593,17,COMPUTER SCIENCE,4
594,18,COMPUTER SCIENCE,0
595,19,COMPUTER SCIENCE,0
596,20,COMPUTER SCIENCE,0
597,21,COMPUTER SCIENCE,0
598,22,COMPUTER SCIENCE,0
599,23,COMPUTER SCIENCE,10
600,24,COMPUTER SCIENCE,6
601,25,COMPUTER SCIENCE,0
602,26,COMPUTER SCIENCE,0
603,27,COMPUTER SCIENCE,0
604,28,COMPUTER SCIENCE,0
605,29,COMPUTER SCIENCE,0
606,30,COMPUTER SCIENCE,0
607,31,COMPUTER SCIENCE,0
608,32,COMPUTER SCIENCE,0
609,33,COMPUTER SCIENCE,0
610,34,COMPUTER SCIENCE,0
611,35,COMPUTER SCIENCE,0
612,36,COMPUTER SCIENCE,1
613,37,COMPUTER SCIENCE,2
614,38,COMPUTER SCIENCE,0
615,39,COMPUTER SCIENCE,0
616,40,COMPUTER SCIENCE,0
617,41,COMPUTER SCIENCE,0
618,42,COMPUTER SCIENCE,2
619,43,COMPUTER SCIENCE,0
620,44,COMPUTER SCIENCE,1
621,45,COMPUTER SCIENCE,0
