,Topic,Discipline,Quantity
337,52,ECONOMICS & BUSINESS,0
338,53,ECONOMICS & BUSINESS,0
339,54,ECONOMICS & BUSINESS,0
340,55,ECONOMICS & BUSINESS,0
341,56,ECONOMICS & BUSINESS,0
342,0,CLINICAL MEDICINE,226
343,1,CLINICAL MEDICINE,1228
344,2,CLINICAL MEDICINE,272
345,3,CLINICAL MEDICINE,168
346,4,CLINICAL MEDICINE,310
347,5,CLINICAL MEDICINE,509
348,6,CLINICAL MEDICINE,0
349,7,CLINICAL MEDICINE,9
350,8,CLINICAL MEDICINE,59
351,9,CLINICAL MEDICINE,36
352,10,CLINICAL MEDICINE,21
353,11,CLINICAL MEDICINE,200
354,12,CLINICAL MEDICINE,2
355,13,CLINICAL MEDICINE,0
356,14,CLINICAL MEDICINE,0
357,15,CLINICAL MEDICINE,5
358,16,CLINICAL MEDICINE,76
359,17,CLINICAL MEDICINE,160
360,18,CLINICAL MEDICINE,0
361,19,CLINICAL MEDICINE,72
362,20,CLINICAL MEDICINE,1
363,21,CLINICAL MEDICINE,178
364,22,CLINICAL MEDICINE,70
365,23,CLINICAL MEDICINE,52
366,24,CLINICAL MEDICINE,38
367,25,CLINICAL MEDICINE,192
368,26,CLINICAL MEDICINE,33
369,27,CLINICAL MEDICINE,20
370,28,CLINICAL MEDICINE,25
371,29,CLINICAL MEDICINE,31
372,30,CLINICAL MEDICINE,113
373,31,CLINICAL MEDICINE,1
374,32,CLINICAL MEDICINE,50
375,33,CLINICAL MEDICINE,66
376,34,CLINICAL MEDICINE,0
377,35,CLINICAL MEDICINE,1
378,36,CLINICAL MEDICINE,40
379,37,CLINICAL MEDICINE,7
380,38,CLINICAL MEDICINE,1
381,39,CLINICAL MEDICINE,1
382,40,CLINICAL MEDICINE,10
383,41,CLINICAL MEDICINE,72
384,42,CLINICAL MEDICINE,84
385,43,CLINICAL MEDICINE,6
386,44,CLINICAL MEDICINE,46
387,45,CLINICAL MEDICINE,2
388,46,CLINICAL MEDICINE,14
389,47,CLINICAL MEDICINE,3
390,48,CLINICAL MEDICINE,0
391,49,CLINICAL MEDICINE,58
392,50,CLINICAL MEDICINE,34
393,51,CLINICAL MEDICINE,1
394,52,CLINICAL MEDICINE,21
395,53,CLINICAL MEDICINE,52
396,54,CLINICAL MEDICINE,53
397,55,CLINICAL MEDICINE,0
398,56,CLINICAL MEDICINE,62
399,0,MATHEMATICS,4
400,1,MATHEMATICS,0
401,2,MATHEMATICS,0
402,3,MATHEMATICS,0
403,4,MATHEMATICS,0
404,5,MATHEMATICS,0
405,6,MATHEMATICS,0
406,7,MATHEMATICS,1
407,8,MATHEMATICS,0
408,9,MATHEMATICS,0
409,10,MATHEMATICS,19
410,11,MATHEMATICS,0
411,12,MATHEMATICS,1
412,13,MATHEMATICS,0
413,14,MATHEMATICS,0
414,15,MATHEMATICS,0
415,16,MATHEMATICS,0
416,17,MATHEMATICS,0
417,18,MATHEMATICS,0
418,19,MATHEMATICS,0
419,20,MATHEMATICS,0
420,21,MATHEMATICS,0
421,22,MATHEMATICS,0
422,23,MATHEMATICS,1
423,24,MATHEMATICS,1
424,25,MATHEMATICS,2
425,26,MATHEMATICS,0
426,27,MATHEMATICS,0
427,28,MATHEMATICS,0
428,29,MATHEMATICS,0
429,30,MATHEMATICS,0
430,31,MATHEMATICS,0
431,32,MATHEMATICS,0
432,33,MATHEMATICS,0
433,34,MATHEMATICS,0
434,35,MATHEMATICS,0
435,36,MATHEMATICS,0
436,37,MATHEMATICS,0
437,38,MATHEMATICS,0
438,39,MATHEMATICS,0
439,40,MATHEMATICS,0
440,41,MATHEMATICS,0
441,42,MATHEMATICS,0
442,43,MATHEMATICS,0
443,44,MATHEMATICS,0
444,45,MATHEMATICS,0
445,46,MATHEMATICS,0
446,47,MATHEMATICS,0
447,48,MATHEMATICS,0
448,49,MATHEMATICS,0
449,50,MATHEMATICS,0
450,51,MATHEMATICS,0
451,52,MATHEMATICS,0
452,53,MATHEMATICS,0
453,54,MATHEMATICS,0
454,55,MATHEMATICS,0
455,56,MATHEMATICS,0
456,0,PSYCHIATRY/PSYCHOLOGY,1
457,1,PSYCHIATRY/PSYCHOLOGY,0
458,2,PSYCHIATRY/PSYCHOLOGY,0
459,3,PSYCHIATRY/PSYCHOLOGY,0
460,4,PSYCHIATRY/PSYCHOLOGY,1
461,5,PSYCHIATRY/PSYCHOLOGY,8
462,6,PSYCHIATRY/PSYCHOLOGY,0
463,7,PSYCHIATRY/PSYCHOLOGY,2
464,8,PSYCHIATRY/PSYCHOLOGY,0
465,9,PSYCHIATRY/PSYCHOLOGY,0
466,10,PSYCHIATRY/PSYCHOLOGY,3
467,11,PSYCHIATRY/PSYCHOLOGY,0
468,12,PSYCHIATRY/PSYCHOLOGY,0
469,13,PSYCHIATRY/PSYCHOLOGY,0
470,14,PSYCHIATRY/PSYCHOLOGY,0
471,15,PSYCHIATRY/PSYCHOLOGY,0
472,16,PSYCHIATRY/PSYCHOLOGY,0
473,17,PSYCHIATRY/PSYCHOLOGY,0
474,18,PSYCHIATRY/PSYCHOLOGY,0
475,19,PSYCHIATRY/PSYCHOLOGY,2
476,20,PSYCHIATRY/PSYCHOLOGY,0
477,21,PSYCHIATRY/PSYCHOLOGY,0
478,22,PSYCHIATRY/PSYCHOLOGY,0
479,23,PSYCHIATRY/PSYCHOLOGY,9
480,24,PSYCHIATRY/PSYCHOLOGY,84
481,25,PSYCHIATRY/PSYCHOLOGY,0
482,26,PSYCHIATRY/PSYCHOLOGY,0
483,27,PSYCHIATRY/PSYCHOLOGY,0
484,28,PSYCHIATRY/PSYCHOLOGY,0
485,29,PSYCHIATRY/PSYCHOLOGY,9
486,30,PSYCHIATRY/PSYCHOLOGY,0
487,31,PSYCHIATRY/PSYCHOLOGY,0
488,32,PSYCHIATRY/PSYCHOLOGY,0
489,33,PSYCHIATRY/PSYCHOLOGY,0
490,34,PSYCHIATRY/PSYCHOLOGY,0
491,35,PSYCHIATRY/PSYCHOLOGY,0
492,36,PSYCHIATRY/PSYCHOLOGY,0
493,37,PSYCHIATRY/PSYCHOLOGY,0
494,38,PSYCHIATRY/PSYCHOLOGY,0
495,39,PSYCHIATRY/PSYCHOLOGY,0
496,40,PSYCHIATRY/PSYCHOLOGY,0
497,41,PSYCHIATRY/PSYCHOLOGY,0
498,42,PSYCHIATRY/PSYCHOLOGY,0
499,43,PSYCHIATRY/PSYCHOLOGY,0
500,44,PSYCHIATRY/PSYCHOLOGY,0
501,45,PSYCHIATRY/PSYCHOLOGY,0
502,46,PSYCHIATRY/PSYCHOLOGY,0
503,47,PSYCHIATRY/PSYCHOLOGY,0
504,48,PSYCHIATRY/PSYCHOLOGY,0
505,49,PSYCHIATRY/PSYCHOLOGY,0
506,50,PSYCHIATRY/PSYCHOLOGY,0
507,51,PSYCHIATRY/PSYCHOLOGY,0
508,52,PSYCHIATRY/PSYCHOLOGY,0
509,53,PSYCHIATRY/PSYCHOLOGY,2
510,54,PSYCHIATRY/PSYCHOLOGY,0
